penerbit,no_anggota,wilayah,tahun_masuk,anggota_luar_biasa
Bayumedia Publishing CV,081/JTI/03,Jawa Timur,2003,0
Terbit Terang,082/JTI/04,Jawa Timur,2004,0
Media Ilmu,083/JTI/04,Jawa Timur,2004,0
Berkah,084/JTI/05,Jawa Timur,2005,0
JEPE Press Media Utama (JP Books),085/JTI/05,Jawa Timur,2005,0
Adi Perkasa,087/JTI/05,Jawa Timur,2005,0
Gani & Son,088/JTI/06,Jawa Timur,2006,0
Pustaka Sarana Media,090/JTI/06,Jawa Timur,2006,0
Karya Bhakti Utama CV.,091/JTI/06,Jawa Timur,2006,0
Catur Sakti Madya,092/JTI/06,Jawa Timur,2006,0
Alfina Primatama,093/JTI/06,Jawa Timur,2006,0
Dunia Ilmu,094/JTI/06,Jawa Timur,2006,0
Iravi Jaya,095/JTI/07,Jawa Timur,2007,0
Kahuripan Grafika,096/JTI/07,Jawa Timur,2007,0
Mahardhika,097/JTI/07,Jawa Timur,2007,0
Bimantara Aluugoda Sejahtera,099/JTI/07,Jawa Timur,2007,0
Pelita Hati,100/JTI/07,Jawa Timur,2007,0
Dian Prima Lestari,101/JTI/07,Jawa Timur,2007,0
Delta Agung Jaya,102/JTI/07,Jawa Timur,2007,0
Graha Ilmu Mulia CV.,103/JTI/08,Jawa Timur,2008,0
Universitas Islam Negeri Malang Press,104/JTI/08,Jawa Timur,2008,0
Menuju Insan Cemerlang PT.,105/JTI/08,Jawa Timur,2008,0
Duta Prima Airlangga,106/JTI/08,Jawa Timur,2008,0
Laa Tasyuk Press,107/JTI/08,Jawa Timur,2008,0
Elba Fitrah Mandiri Sejahtera,109/JTI/08,Jawa Timur,2008,0
Masmedia Buana Pustaka,110/JTI/09,Jawa Timur,2009,0
Surya Pena Gemilang,111/JTI/09,Jawa Timur,2009,0
Duta Aksara Mulia,114/JTI/09,Jawa Timur,2009,0
Wineka Media,115/JTI/09,Jawa Timur,2009,0
Iranti Mitra Utama,116/JTI/2010,Jawa Timur,2010,0
Sinar Ilmu Peraga,118/JTI/2010,Jawa Timur,2010,0
Elang Mas,119/JTI/2010,Jawa Timur,2010,0
Tunggal Mandiri,120/JTI/2010,Jawa Timur,2010,0
Malak,122/JTI/2010,Jawa Timur,2010,0
Wina Press,123/JTI/2010,Jawa Timur,2010,0
Abdikarya,124/JTI/2010,Jawa Timur,2010,0
Putra Media Nusantara,125/JTI/2010,Jawa Timur,2010,0
Arta Sarana Media,126/JTI/2010,Jawa Timur,2010,0
Jember University Press,127/JTI/2011,Jawa Timur,2011,0
Universitas Wisnuwardhana Press (Unidha Press),128/JTI/2011,Jawa Timur,2011,0
Laksbang Justitia,129/JTI/2011,Jawa Timur,2011,0
Pustaka Progresif,130/JTI/2011,Jawa Timur,2011,0
Misykat Indonesia,131/JTI/2011,Jawa Timur,2011,0
Widya Satria,132/JTI/2011,Jawa Timur,2011,0
Kharisma Mandiri,133/JTI/2011,Jawa Timur,2011,0
UIN Sunan Ampel Press,134/JTI/2011,Jawa Timur,2011,0
Universitas Kanjuruhan Malang,135/JTI/2011,Jawa Timur,2011,0
Bintang Sejahtera (Bintang Media Press),136/JTI/2011,Jawa Timur,2011,0
Salsabila Putra Pratama,137/JTI/2011,Jawa Timur,2011,0
Lembaga Pengembangan Sumber Daya Manusia (LPSDM) Serva Minora,138/JTI/2011,Jawa Timur,2011,0
Widya Karya,139/JTI/2011,Jawa Timur,2011,0
Cita Intrans Selaras,140/JTI/2012,Jawa Timur,2012,0
Jenggala Pustaka Utama,141/JTI/2012,Jawa Timur,2012,0
Citra Media,142/JTI/2012,Jawa Timur,2012,0
Candra Kirana,143/JTI/2012,Jawa Timur,2012,0
Tirto Arum,144/JTI/2012,Jawa Timur,2012,0
R.A.De. Rozarie,146/JTI/2013,Jawa Timur,2013,0
Kaf-Nun,147/JTI/2013,Jawa Timur,2013,0
Dwiputra Pustaka Jaya,148/JTI/2013,Jawa Timur,2013,0
Zifatama Jawara,149/JTI/2013,Jawa Timur,2013,0
Pustaka Insan Cemerlang,150/JTI/2014,Jawa Timur,2014,0
Kapasari-Tri Wijaya Sentosa,151/JTI/2014,Jawa Timur,2014,0
STAINA PRESS,152/JTI/2014,Jawa Timur,2014,0
Genius Media,153/JTI/2014,Jawa Timur,2014,0
Jagad Ali Mussirry,154/JTI/2014,Jawa Timur,2014,0
Nayya Grafika,155/JTI/2014,Jawa Timur,2014,0
Cerdas Ulet Kreatif,156/JTI/2014,Jawa Timur,2014,0
Revka Petra Media,157/JTI/2014,Jawa Timur,2014,0
Dream Litera Buana,158/JTI/2015,Jawa Timur,2015,0
Sinergi Nur,159/JTI/2015,Jawa Timur,2015,0
Latif Kitto Mahesa,160/JTI/2015,Jawa Timur,2015,0
Alfasyam Jaya Mandiri,161/JTI/2015,Jawa Timur,2015,0
MNC Publishing,162/JTI/2015,Jawa Timur,2015,0
Berkat Mukmin Mandiri,163/JTI/2015,Jawa Timur,2015,0
Genta Mandiri Globalindo,164/JTI/2015,Jawa Timur,2015,0
Selaras Media Kreasindo,165/JTI/2015,Jawa Timur,2015,0
Nizamia Learning Center (NLC),166/JTI/2016,Jawa Timur,2016,0
Andhum Berkat,167/JTI/2016,Jawa Timur,2016,0
UNIDA Gontor Press,168/JTI/2016,Jawa Timur,2016,0
Qualifa Berkah Mulia,169/JTI/2016,Jawa Timur,2016,0
Media Prestasi,170/JTI/2016,Jawa Timur,2016,0
Dalle Nurul Utama,171/JTI/2016,Jawa Timur,2016,0
Miza Mediatama,172/JTI/2016,Jawa Timur,2016,0
Multi Media,173/JTI/2016,Jawa Timur,2016,0
Alpha,174/JTI/2016,Jawa Timur,2016,0
MIA,175/JTI/2016,Jawa Timur,2016,0
Ampuh Multi Rejeki,176/JTI/2016,Jawa Timur,2016,0
Polinema Press,177/JTI/2017,Jawa Timur,2017,0
Unusida Press and Publisher,178/Anggota Luar Biasa/JTI/2017,Jawa Timur,2017,1
Reality Publisher,179/JTI/2017,Jawa Timur,2017,0
Duta Media Publishing,180/JTI/2017,Jawa Timur,2017,0
Graniti,181/JTI/2017,Jawa Timur,2017,0
Wade Group,182/JTI/2017,Jawa Timur,2017,0
UMM Press,183/Anggota Luar Biasa/JTI/2017,Jawa Timur,2017,1
Muara Karya,184/JTI/2017,Jawa Timur,2017,0
Pustaka Abadi,185/JTI/2017,Jawa Timur,2017,0
Universitas Muhammadiyah Ponorogo Press (UNMUH Ponorogo Press),186/Anggota Luar Biasa/JTI/2017,Jawa Timur,2017,1
Nauval Pustaka,187/JTI/2017,Jawa Timur,2017,0
Kresna Bina Insan Prima,188/JTI/2017,Jawa Timur,2017,0
UMG Press,189/Anggota Luar Biasa/JTI/2017,Jawa Timur,2017,1
Prima Putra Pratama,190/JTI/2017,Jawa Timur,2017,0
Bayu Mandiri,191/JTI/2017,Jawa Timur,2017,0
Pustaka Mediaguru,192/JTI/2017,Jawa Timur,2017,0
Al Maidah,193/JTI/2017,Jawa Timur,2017,0
UPT Percetakan ITS (ITS Press),194/Anggota Luar Biasa/JTI/2017,Jawa Timur,2017,1
Indomedia Pustaka,195/JTI/2018,Jawa Timur,2018,0
Adicita Karya Nusa,001/DIY/99,DI Yogyakarta,1999,0
Adinda Tuti Kinasih,002/DIY/01,DI Yogyakarta,2001,0
Aditya Media,003/DIY/94,DI Yogyakarta,1994,0
Analisa,004/DIY/01,DI Yogyakarta,2001,0
Andi Offset,005/DIY/85,DI Yogyakarta,1985,0
Andi Yayasan,006/DIY/92,DI Yogyakarta,1992,0
Bayu Indra Grafika,007/DIY/96,DI Yogyakarta,1996,0
Bhakti Profesindo (BPFE Yogyakarta),008/DIY/87,DI Yogyakarta,1987,0
BP. Kedaulatan Rakyat,009/DIY/81,DI Yogyakarta,1981,0
Dana Bhakti Prima Yasa,010/DIY/92,DI Yogyakarta,1992,0
Duta Wacana University Press,011/DIY/94,DI Yogyakarta,1994,0
UGM Press/Gadjah Mada University Press,012/DIY/90,DI Yogyakarta,1990,0
Galang Media Utama,013/DIY/01,DI Yogyakarta,2001,0
Gama Exacta,014/DIY/93,DI Yogyakarta,1993,0
Gama Media,015/DIY/98,DI Yogyakarta,1998,0
Graha Ilmu,016/DIY/01,DI Yogyakarta,2001,0
Hidayat,017/DIY/01,DI Yogyakarta,2001,0
Kaliwangi,018/DIY/01,DI Yogyakarta,2001,0
Kanisius,019/DIY/68,DI Yogyakarta,1968,0
Karyono,020/DIY/94,DI Yogyakarta,1994,0
Kota Kembang,021/DIY/81,DI Yogyakarta,1981,0
Liberty,022/DIY/94,DI Yogyakarta,1994,0
Lukman Mitra Grafindo,023/DIY/85,DI Yogyakarta,1985,0
Media Pressindo,024/DIY/00,DI Yogyakarta,2000,0
Mitra Gama Widya,025/DIY/89,DI Yogyakarta,1989,0
Persatuan,026/DIY/68,DI Yogyakarta,1968,0
Pustaka Nusatama,027/DIY/96,DI Yogyakarta,1996,0
Pustaka Pelajar,028/DIY/95,DI Yogyakarta,1995,0
Sasmita Utama,029/DIY/01,DI Yogyakarta,2001,0
Sumbangsih Offset,030/DIY/90,DI Yogyakarta,1990,0
Taman Pustaka Kristen Yogyakarta,031/DIY/92,DI Yogyakarta,1992,0
Tamansiswa,032/DIY/98,DI Yogyakarta,1998,0
Tarawang,033/DIY/00,DI Yogyakarta,2000,0
Tiara Wacana,034/DIY/92,DI Yogyakarta,1992,0
Universitas Islam Indonesia Press,035/DIY/99,DI Yogyakarta,1999,0
Victory Jaya Abadi,036/DIY/92,DI Yogyakarta,1992,0
Multi Karya Grafika,037/DIY/01,DI Yogyakarta,2001,0
Navila,038/DIY/01,DI Yogyakarta,2001,0
Lembaga Kajian Islam Dan Sosial (LKIS),039/DIY/01,DI Yogyakarta,2001,0
Madyan Press (Pindah Alamat),040/DIY/02,DI Yogyakarta,2002,0
Mawar Merah,041/DIY/02,DI Yogyakarta,2002,0
Gava Media,042/DIY/02,DI Yogyakarta,2002,0
Citra Aji Parama,043/DIY/03,DI Yogyakarta,2003,0
Anindya,044/DIY/05,DI Yogyakarta,2005,0
Nuansa Pilar Media,045/DIY/05,DI Yogyakarta,2005,0
Gloria Usaha Mulia,046/DIY/05,DI Yogyakarta,2005,0
Jalasutra,047/DIY/05,DI Yogyakarta,2005,0
Pustaka Insan Madani,048/DIY/06,DI Yogyakarta,2006,0
Citra Media,049/DIY/06,DI Yogyakarta,2006,0
Bentang Pustaka,050/DIY/06,DI Yogyakarta,2006,0
Absolut,051/DIY/06,DI Yogyakarta,2006,0
Empat Pilar Pendidikan,052/DIY/06,DI Yogyakarta,2006,0
Gitanagari,053/DIY/06,DI Yogyakarta,2006,0
Intersolusi Pressindo,054/DIY/06,DI Yogyakarta,2006,0
Diva Press,055/DIY/06,DI Yogyakarta,2006,0
Klein Press,056/DIY/08,DI Yogyakarta,2008,0
Kepel Communication,057/DIY/08,DI Yogyakarta,2008,0
Cahaya Bintang,058/DIY/08,DI Yogyakarta,2008,0
STIM YKPN,059/DIY/08,DI Yogyakarta,2008,0
Kompetensi Terapan Sinergi Pustaka,060/DIY/08,DI Yogyakarta,2008,0
Ar-Ruzz Media,061/DIY/08,DI Yogyakarta,2008,0
Diandra Primamitra Media,062/DIY/08,DI Yogyakarta,2008,0
Balai Besar Penelitian dan Pengembangan Pelayanan Kesejahteraan Sosial (B2P3KS),063/DIY/09,DI Yogyakarta,2009,0
Elmatera Publishing,064/DIY/09,DI Yogyakarta,2009,0
Kreasi Total Media,065/DIY/09,DI Yogyakarta,2009,0
Cipta Media,066/DIY/2010,DI Yogyakarta,2010,0
Kurnia Kalam Semesta,067/DIY/2010,DI Yogyakarta,2010,0
Cahaya Dua Permata,068/DIY/2010,DI Yogyakarta,2010,0
Lintang Pustaka Grafika,069/DIY/2011,DI Yogyakarta,2011,0
Skripta Media Creative,070/DIY/2011,DI Yogyakarta,2011,0
Aswaja Pressindo,071/DIY/2011,DI Yogyakarta,2011,0
LKIS Pustaka Pesantren,072/DIY/2011,DI Yogyakarta,2011,0
Relasi Inti Media,073/DIY/2011,DI Yogyakarta,2011,0
Penerbit Ombak,074/DIY/2012,DI Yogyakarta,2012,0
IllumiNation Publishing,075/DIY/2012,DI Yogyakarta,2012,0
Budi Utama,076/DIY/2012,DI Yogyakarta,2012,0
Unit Penerbit Sekolah Pascasarjana Universitas Gadjah Mada,077/DIY/2012,DI Yogyakarta,2012,0
Azzagrafika,078/DIY/2012,DI Yogyakarta,2012,0
Pinus Book Publisher,079/DIY/2012,DI Yogyakarta,2012,0
Cakrawala Media,080/DIY/2012,DI Yogyakarta,2012,0
Ganda Buku,081/DIY/2013,DI Yogyakarta,2013,0
Pustaka Ilmu Group,082/DIY/2013,DI Yogyakarta,2013,0
UNY Press,083/DIY/2013,DI Yogyakarta,2013,0
Samudra Biru,084/DIY/2013,DI Yogyakarta,2013,0
Kaukaba Dipantara,085/DIY/2013,DI Yogyakarta,2013,0
Pohon Cahaya,086/DIY/2014,DI Yogyakarta,2014,0
Arti Bumi Intaran,087/DIY/2014,DI Yogyakarta,2014,0
Taka Publishers,088/DIY/2014,DI Yogyakarta,2014,0
Concart,089/DIY/2015,DI Yogyakarta,2015,0
Lingkarantarnusa,090/DIY/2015,DI Yogyakarta,2015,0
Lintang Pustaka Utama,091/DIY/2015,DI Yogyakarta,2015,0
Ifada Initiatives,092/DIY/2015,DI Yogyakarta,2015,0
Graha Literata,093/DIY/2016,DI Yogyakarta,2016,0
Iqro Indonesia Global,094/DIY/2016,DI Yogyakarta,2016,0
Integral Offset,095/DIY/2016,DI Yogyakarta,2016,0
Global Pustaka Utama,096/DIY/2017,DI Yogyakarta,2017,0
Ecologia Press,097/DIY/2017,DI Yogyakarta,2017,0
Gosyen Publishing,098/DIY/2017,DI Yogyakarta,2017,0
Grafika Indah,099/DIY/2017,DI Yogyakarta,2017,0
Penerbit Universitas Islam Indonesia (UII),100/Angg. Luar Biasa/DIY/2017,DI Yogyakarta,2017,1
INDOLITERASI,101/DIY/2018,DI Yogyakarta,2018,0
Rosyaf Liwa Mandiri,001/LPU/03,Lampung,2003,0
Anugrah Hikmah,002/LPU/08,Lampung,2008,0
Anugrah Utama Raharja (Aura Publishing),003/LPU/13,Lampung,2013,0
Penerbit Harakindo,004/LPU/13,Lampung,2013,0
Laduny Alifatama (Penerbit Laduny),005/LPU/13,Lampung,2013,0
Zamzam Tower,006/LPU/2017,Lampung,2017,0
Penerbit & Percetakan Universitas Sriwijaya,001/SMS/96,Sumatra Selatan,1996,0
Al Mukhtar,002/SMS/97,Sumatra Selatan,1997,0
Dempo Prima,003/SMS/92,Sumatra Selatan,1992,0
IAIN Raden Fatah,004/SMS/03,Sumatra Selatan,2003,0
Universitas Muhammadiyah Palembang,005/SMS/03,Sumatra Selatan,2003,0
Maxikom,006/SMS/03,Sumatra Selatan,2003,0
Roda Maju,007/SMS/04,Sumatra Selatan,2004,0
Universitas Bina Darma,008/SMS/05,Sumatra Selatan,2005,0
Tunas Gemilang,009/SMS/08,Sumatra Selatan,2008,0
Aulia Cendekia Press,010/SMS/08,Sumatra Selatan,2008,0
LPK Tunas Melati Salam,011/SMS/12,Sumatra Selatan,2012,0
Noer Fikri,012/SMS/13,Sumatra Selatan,2013,0
Public Health Press,013/SMS/13,Sumatra Selatan,2013,0
Penerbit Yayasan Pendidikan Lambang Budi Bakti Alumnika (YPLBBA),015/SMS/16,Sumatra Selatan,2016,0
Agung Sriwijaya Peninsular,016/SMS/16,Sumatra Selatan,2016,0
Pusaka Riau,001/RAU/00,Riau,2000,0
Bahana Mestika Karya,002/RAU/00,Riau,2000,0
Sutra Benta Perkasa,003/RAU/04,Riau,2004,0
Usaha Putra Riau,004/RAU/00,Riau,2000,0
Persada Riau,005/RAU/05,Riau,2005,0
Lembaga Penerbitan Nahdhatul Ulama,006/RAU/05,Riau,2005,0
Riau Multimedia Entertainment,007/RAU/05,Riau,2005,0
Badan Penerbit Universitas Riau,008/RAU/05,Riau,2005,0
Angkasa Raya,001/SBA/1982,Sumatra Barat,1982,0
Pustaka Indonesia,002/SBA/82,Sumatra Barat,1982,0
Tiga Sari Utama,003/SBA/95,Sumatra Barat,1995,0
Anggrek Media (pindah),004/SBA/04,Sumatra Barat,2004,0
Kristal Multimedia,005/SBA/04,Sumatra Barat,2004,0
Gunung Bungsu,006/SBA/04,Sumatra Barat,2004,0
Sukabina Kharsa,007/SBA/09,Sumatra Barat,2009,0
Bintang Grafika,008/SBA/11,Sumatra Barat,2011,0
Jasa Surya,009/SBA/11,Sumatra Barat,2011,0
Citra Budaya Indonesia,010/SBA/11,Sumatra Barat,2011,0
Lembaga Penerbitan Imam Bonjol Press,011/SBA/15,Sumatra Barat,2015,0
Arifha,012/SBA/15,Sumatra Barat,2015,0
Rumahkayu Pustaka Utama,013/SBA/16,Sumatra Barat,2016,0
Angkasa Wira Usaha,001/SUT/94,Sumatra Utara,1994,0
Devi Plaza,002/SUT/94,Sumatra Utara,1994,0
Gama Utama,003/SUT/92,Sumatra Utara,1992,0
Harris,004/SUT/62,Sumatra Utara,1962,0
Hasmar,005/SUT/62,Sumatra Utara,1962,0
IAIN Press,006/SUT/89,Sumatra Utara,1989,0
Karya Pribumi,007/SUT/82,Sumatra Utara,1982,0
Madju Medan Cipta,008/SUT/62,Sumatra Utara,1962,0
Mitra Medan,009/SUT/96,Sumatra Utara,1996,0
Monora,010/SUT/62,Sumatra Utara,1962,0
Pustaka Widyasarana,011/SUT/92,Sumatra Utara,1992,0
Sarana Grafika,012/SUT/86,Sumatra Utara,1986,0
Waspada,013/SUT/76,Sumatra Utara,1976,0
Bina Media,014/SUT/01,Sumatra Utara,2001,0
Yandira Agung,015/SUT/01,Sumatra Utara,2001,0
Sastra Novela,016/SUT/03,Sumatra Utara,2003,0
Sinar Agung,017/SUT/06,Sumatra Utara,2006,0
Pustaka Bangsa,018/SUT/08,Sumatra Utara,2008,0
Partama Mitra Sari,019/SUT/10,Sumatra Utara,2010,0
Joehanda,020/SUT/11,Sumatra Utara,2011,0
Jabal Rahmat,021/SUT/11,Sumatra Utara,2011,0
Perdana Mulya Sarana,022/SUT/11,Sumatra Utara,2011,0
Bina Media Perintis,021/SUT/16,Sumatra Utara,2016,0
Naspar Djaja,022/SUT/18,Sumatra Utara,2018,0
Rizki Fatur Cemerlang,001/KEPRI/2011,Kep. Riau,2011,0
Bintang Dunia,002/KEPRI/2012,Kep. Riau,2012,0
Dewi Fortuna,003/KEPERI/2014,Kep. Riau,2014,0
Nalial Jaya Abadi,004/KEPRI/2017,Kep. Riau,2017,0
Polibatam Press,005/Anggota Luar Biasa/KEPRI/2018,Kep. Riau,2018,1
Boebon Jaya,001/DIA/96,DI Aceh,1996,0
Citra Karya,002/DIA/92,DI Aceh,1992,0
Dominan,003/DIA/99,DI Aceh,1999,0
Pustaka Tunggal,004/DIA/98,DI Aceh,1998,0
Pena,005/DIA/03,DI Aceh,2003,0
Ar-Rijal Institute,006/DIA/08,DI Aceh,2008,0
Ar Raniry Press,007/DIA/08,DI Aceh,2008,0
Yayasan Adnin (Adnin Foundation),008/DIA/09,DI Aceh,2009,0
Lembaga Swadaya Masyarakat LAPENA,009/DIA/09,DI Aceh,2009,0
Al Washliyah University Press (AUP),010/DIA/09,DI Aceh,2009,0
LKAS (Lembaga Kajian Agama dan Sosial) Banda Aceh,011/DIA/2010,DI Aceh,2010,0
BPNB Banda Aceh Press,012/DIA/2013,DI Aceh,2013,0
Lembaga Penerbitan Balai Bahasa Banda Aceh,013/DIA/2013,DI Aceh,2013,0
Lembaga Naskah Aceh (NASA),014/DIA/2013,DI Aceh,2013,0
Lembaga Studi Agama dan Masyarakat (LSAMA),015/DIA/2014,DI Aceh,2014,0
Pusat Dokumentasi Dan Informasi Aceh (PDIA),016/DIA/2014,DI Aceh,2014,0
Gema Aneuk Muda Nanggroe Aceh (GAMNA),016/DIA/2014,DI Aceh,2014,0
Syiah Kuala University Press,018/DIA/2014,DI Aceh,2014,0
Bandar Publishing,019/DIA/2017,DI Aceh,2017,0
Rapi,001/KSL/79,Kalimantan Selatan,1979,0
Romeo Mitra Grafika,001/KLB/00,Kalimantan Barat,2000,0
Insan Cita,002/KLB/02,Kalimantan Barat,2002,0
Samudera Mas,003/KLB/02,Kalimantan Barat,2002,0
Universitas Tanjungpura (Untan Press),004/KLB/03,Kalimantan Barat,2003,0
Fahruna Bahagia,005/KLB/03,Kalimantan Barat,2003,0
STAIN Press,006/KLB/03,Kalimantan Barat,2003,0
Kami,007/KLB/06,Kalimantan Barat,2006,0
Edukasi Press,008/KLB/08,Kalimantan Barat,2008,0
Penerbit FH Untan Press,009/KLB/08,Kalimantan Barat,2008,0
Menara Mega Perkasa,010/KLB/08,Kalimantan Barat,2008,0
Wanda Putra Persada,011/KLB/14,Kalimantan Barat,2014,0
Top Indonesia,012/KLB/15,Kalimantan Barat,2015,0
Baruna Karya,001/KTI/97,Kalimantan Timur,1997,0
Pustaka Spirit,002/KTI/07,Kalimantan Timur,2007,0
Sultan Kaltim Utama,003/KTI/2010,Kalimantan Timur,2010,0
Mulawarman University Press,004/Anggota Luar Biasa/KTI/2017,Kalimantan Timur,2017,1
Surya Mekar,001/KALTENG/06,Kalimantan Tengah,2006,0
Citra Adi Bangsa,001/SSL/01,Sulawesi Selatan,2001,0
Hasanuddin University Press,002/SSL/01,Sulawesi Selatan,2001,0
Mitra Media,003/SSL/01,Sulawesi Selatan,2001,0
Umitoha Ukhuwah Grafika,004/SSL/96,Sulawesi Selatan,1996,0
Intermedia Kreasi Mandiri,005/SSL/03,Sulawesi Selatan,2003,0
Pustaka Refleksi,006/SSL/03,Sulawesi Selatan,2003,0
De La Macca,007/SSL/03,Sulawesi Selatan,2003,0
Bintang Ilmu,008/SSL/03,Sulawesi Selatan,2003,0
Indobis,009/SSL/06,Sulawesi Selatan,2006,0
LamPENA (Lembaga Pengkajian Pengembangan dan Pendidikan Masyarakat),010/SSL/08,Sulawesi Selatan,2008,0
Badan Penerbit Universitas Negeri Makassar,011/SSL/2010,Sulawesi Selatan,2010,0
Pustaka Sawerigading,012/SSL/2014,Sulawesi Selatan,2014,0
Masagena Center,012B/SSL/2012,Sulawesi Selatan,2012,0
Luqman Al Hakim Press,013/SSL/2015,Sulawesi Selatan,2015,0
Garis Khatulistiwa,014/SSL/2016,Sulawesi Selatan,2016,0
Social Politic Genius,015/SSL/2018,Sulawesi Selatan,2018,0
Investasi Sulteng,001/Sul-Teng/2009,Sulawesi,2009,0
Badan Penerbit Universitas Tadulako Press,002/Sul-Teng/2009,Sulawesi,2009,0
Edukasi Mitra Grafika,003/Sul-Teng/2009,Sulawesi,2009,0
STAIN Manado Press,001/SULUT/2013,Sulawesi,2013,0
Unsrat Press,002/Anggota Luar Biasa/SULUT/2017,Sulawesi,2017,1
Ideas Publishing,001/Gorontalo/14,Sulawesi,2014,0
UNG Press,002/Gorontalo/14,Sulawesi,2014,0
Kayumas Agung,001/BAI/94,Bali,1994,0
Percetakan Bali,002/BAI/97,Bali,1997,0
Upada Sastra,003/BAI/89,Bali,1989,0
Tri Agung,004/BAI/03,Bali,2003,0
Tohpati Grafika Utama,005/BAI/03,Bali,2003,0
Prana Pancaka Mitra,006/BAI/04,Bali,2004,0
Empat Warna Komunikasi,007/BAI/04,Bali,2004,0
Akita Jaya,008/BAI/07,Bali,2007,0
Trio Mitra Grafika,009/BAI/07,Bali,2007,0
Tarukan Agung,010/BAI/08,Bali,2008,0
Bhuwana Utama,011/BAI/08,Bali,2008,0
Dwi Cipta Mediatama,012/BAI/08,Bali,2008,0
Bilas Utama,013/BAI/08,Bali,2008,0
Dwi Jaya Mandiri,014/BAI/09,Bali,2009,0
Cakra Media Utama,015/BAI/11,Bali,2011,0
Sari Kahyangan,016/BAI/12,Bali,2012,0
Lembaga Penjaminan Mutu Pendidikan Bali,017/BAI/16,Bali,2016,0
Nusa Indah,001/NTT/,Nusa Tenggara Timur,,0
Kairos,002/NTT/05,Nusa Tenggara Timur,2005,0
Lembaga Penerbit Ledalero,003/NTT/2005,Nusa Tenggara Timur,2005,0
Gita Kasih,004/NTT/2005,Nusa Tenggara Timur,2005,0
STKIP ST. Paulus Ruteng,005/Anggota Luar Biasa/NTT/2017,Nusa Tenggara Timur,2017,1
Nusa Tenggara Pratama Press,001/NTB/04,Nusa Tenggara Barat,2004,0
Pustaka Widya,002/NTB/06,Nusa Tenggara Barat,2006,0
Pustaka Bangsa,003/Anggota Luar Biasa/NTB/17,Nusa Tenggara Barat,2017,1
CV. Media Jaya Abdi,331/JBA/2018,Jawa Barat,2018,0
